(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 15, 15, 15, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [5, 0, 15, 23, 15, 1, 1, 0, 0, 122], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [110, 0, 15, 23, 15, 1, 2, 1, 0, 238], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [60, 0, 16, 23, 16, 1, 2, 1, 0, 239], 'reward': -1, 'action': 0, 'done': False})
(3, {'state': [680, 0, 18, 23, 16, 1, 2, 1, 1, 513], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [530, 0, 18, 23, 16, 1, 2, 2, 1, 514], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [430, 0, 20, 23, 16, 1, 2, 2, 2, 515], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1100, 0, 20, 23, 16, 1, 2, 2, 2, 762], 'reward': 10491, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 15, 15, 15, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [100, 0, 15, 23, 15, 1, 2, 1, 0, 237], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [50, 0, 16, 23, 16, 1, 2, 1, 0, 238], 'reward': -1, 'action': 0, 'done': False})
(3, {'state': [650, 0, 18, 23, 16, 1, 2, 1, 1, 511], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [555, 0, 20, 23, 16, 1, 2, 1, 2, 512], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1225, 0, 20, 23, 16, 1, 2, 1, 2, 760], 'reward': 10504, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 15, 15, 15, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [5, 0, 15, 23, 15, 1, 1, 0, 0, 122], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [100, 0, 15, 23, 15, 1, 2, 1, 0, 235], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [0, 0, 15, 23, 15, 1, 2, 2, 0, 256], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [0, 0, 16, 23, 16, 1, 2, 2, 0, 276], 'reward': -1, 'action': 0, 'done': False})
(3, {'state': [505, 0, 18, 23, 16, 1, 2, 2, 1, 509], 'reward': -1, 'action': 3, 'done': False})
(1, {'state': [405, 0, 18, 31, 16, 1, 2, 2, 1, 510], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [305, 0, 20, 31, 16, 1, 2, 2, 2, 511], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [605, 0, 20, 31, 16, 1, 2, 2, 2, 624], 'reward': 11404, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 15, 15, 15, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [100, 0, 15, 23, 15, 1, 2, 1, 0, 234], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [0, 0, 15, 23, 15, 1, 2, 2, 0, 254], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [0, 0, 16, 23, 16, 1, 2, 2, 0, 278], 'reward': -1, 'action': 0, 'done': False})
(3, {'state': [505, 0, 18, 23, 16, 1, 2, 2, 1, 511], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [415, 0, 20, 23, 16, 1, 2, 2, 2, 512], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [715, 0, 20, 23, 16, 1, 2, 2, 2, 622], 'reward': 11417, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 15, 15, 15, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [100, 0, 15, 23, 15, 1, 2, 1, 0, 236], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [0, 0, 15, 23, 15, 1, 2, 2, 0, 254], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [520, 0, 17, 23, 15, 1, 2, 2, 1, 514], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [420, 0, 19, 23, 15, 1, 2, 2, 2, 515], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [700, 0, 19, 23, 15, 1, 2, 2, 2, 630], 'reward': 11363, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 15, 15, 15, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [100, 0, 15, 23, 15, 1, 2, 1, 0, 236], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [655, 0, 17, 23, 15, 1, 2, 1, 1, 509], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [510, 0, 17, 23, 15, 1, 2, 2, 1, 510], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [425, 0, 19, 23, 15, 1, 2, 2, 2, 511], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1015, 0, 19, 23, 15, 1, 2, 2, 2, 758], 'reward': 10517, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 15, 15, 15, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [105, 0, 15, 23, 15, 1, 2, 1, 0, 237], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [690, 0, 17, 23, 15, 1, 2, 1, 1, 512], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [590, 0, 19, 23, 15, 1, 2, 1, 2, 513], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1205, 0, 19, 23, 15, 1, 2, 1, 2, 761], 'reward': 10497, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 23, 14, 1, 1, 0, 0, 96], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [135, 0, 16, 23, 16, 1, 1, 0, 0, 211], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 16, 1, 2, 1, 0, 217], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [0, 0, 16, 23, 16, 1, 2, 2, 0, 281], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [435, 0, 18, 23, 16, 1, 2, 2, 1, 492], 'reward': -1, 'action': 3, 'done': False})
(1, {'state': [335, 0, 18, 31, 16, 1, 2, 2, 1, 493], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [240, 0, 20, 31, 16, 1, 2, 2, 2, 494], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [655, 0, 20, 31, 16, 1, 2, 2, 2, 655], 'reward': 11195, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 23, 14, 1, 1, 0, 0, 95], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [135, 0, 16, 23, 16, 1, 1, 0, 0, 210], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 16, 1, 2, 1, 0, 217], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [0, 0, 16, 23, 16, 1, 2, 2, 0, 278], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [480, 0, 18, 23, 16, 1, 2, 2, 1, 498], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [380, 0, 20, 23, 16, 1, 2, 2, 2, 499], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [815, 0, 20, 23, 16, 1, 2, 2, 2, 656], 'reward': 11189, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 23, 14, 1, 1, 0, 0, 95], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [145, 0, 16, 23, 16, 1, 1, 0, 0, 210], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 16, 1, 2, 1, 0, 211], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [615, 0, 18, 23, 16, 1, 2, 1, 1, 490], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [470, 0, 18, 23, 16, 1, 2, 2, 1, 491], 'reward': -1, 'action': 2, 'done': False})
(1, {'state': [380, 0, 18, 31, 16, 1, 2, 2, 1, 492], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [280, 0, 20, 31, 16, 1, 2, 2, 2, 493], 'reward': -1, 'action': 3, 'done': False})
